"","Cell","Batch","Group","ExpLibSize"
"Cell105","Cell105","Batch1","Group1",67513.7144906915
"Cell106","Cell106","Batch1","Group1",65066.7543523041
"Cell107","Cell107","Batch1","Group6",58621.0936483532
"Cell108","Cell108","Batch1","Group6",50447.4506528213
"Cell109","Cell109","Batch1","Group5",75016.6574254739
"Cell110","Cell110","Batch1","Group2",71916.1635402986
"Cell111","Cell111","Batch1","Group5",51798.8942479534
"Cell112","Cell112","Batch1","Group1",68689.7877693171
"Cell113","Cell113","Batch1","Group6",65513.8702225813
"Cell114","Cell114","Batch1","Group4",73794.857103879
"Cell115","Cell115","Batch1","Group5",61693.0034312537
"Cell116","Cell116","Batch1","Group5",47657.0841887792
"Cell117","Cell117","Batch1","Group2",70298.0880547678
"Cell118","Cell118","Batch1","Group4",51753.9840069599
"Cell119","Cell119","Batch1","Group5",66532.2357389466
"Cell120","Cell120","Batch1","Group6",83675.0191082708
"Cell121","Cell121","Batch1","Group4",45081.8225217089
"Cell122","Cell122","Batch1","Group4",81828.6053596563
"Cell123","Cell123","Batch1","Group5",78482.598323094
"Cell124","Cell124","Batch1","Group5",53866.3169794429
"Cell125","Cell125","Batch1","Group6",56939.5492688502
"Cell126","Cell126","Batch1","Group4",52199.6183604493
"Cell127","Cell127","Batch1","Group1",53419.2512109766
"Cell128","Cell128","Batch1","Group1",67233.4571123697
"Cell129","Cell129","Batch1","Group3",50021.5003482897
"Cell130","Cell130","Batch1","Group6",57637.8081252779
"Cell131","Cell131","Batch1","Group1",58175.484969777
"Cell132","Cell132","Batch1","Group5",58728.7972939136
"Cell133","Cell133","Batch1","Group5",62086.8408657647
"Cell134","Cell134","Batch1","Group1",82397.8680050131
"Cell135","Cell135","Batch1","Group1",54706.2724591392
"Cell136","Cell136","Batch1","Group5",51073.6483360919
"Cell137","Cell137","Batch1","Group6",70154.6149274431
"Cell138","Cell138","Batch1","Group2",64608.06065658
"Cell139","Cell139","Batch1","Group6",62765.2965242885
"Cell140","Cell140","Batch1","Group5",67386.3431649541
"Cell141","Cell141","Batch1","Group2",45144.0586843149
"Cell142","Cell142","Batch1","Group2",74062.0962232109
"Cell143","Cell143","Batch1","Group4",65564.1004421756
"Cell144","Cell144","Batch1","Group6",72421.7969134393
"Cell145","Cell145","Batch1","Group6",53119.3452027933
"Cell146","Cell146","Batch1","Group6",41423.8462318894
"Cell147","Cell147","Batch1","Group3",54343.5979917075
"Cell148","Cell148","Batch1","Group1",49942.6505440239
"Cell149","Cell149","Batch1","Group3",93391.2082294641
"Cell150","Cell150","Batch1","Group2",55122.1375419774
"Cell151","Cell151","Batch1","Group6",57346.3932630426
"Cell152","Cell152","Batch1","Group3",74057.3968031752
"Cell153","Cell153","Batch1","Group6",67783.1762557256
"Cell154","Cell154","Batch1","Group4",68501.6649898302
"Cell155","Cell155","Batch1","Group6",101391.233583442
"Cell156","Cell156","Batch1","Group6",61896.7454492932
"Cell157","Cell157","Batch1","Group3",87643.7084596674
"Cell158","Cell158","Batch1","Group2",62990.7821924185
"Cell159","Cell159","Batch1","Group2",44720.8719912668
"Cell160","Cell160","Batch1","Group6",38351.5549302981
"Cell161","Cell161","Batch1","Group1",68182.0566494686
"Cell162","Cell162","Batch1","Group5",49028.1561340934
"Cell163","Cell163","Batch1","Group5",60378.8693029733
"Cell164","Cell164","Batch1","Group3",85426.2525980526
"Cell165","Cell165","Batch1","Group5",64179.3338666316
"Cell166","Cell166","Batch1","Group3",56533.0391967175
"Cell167","Cell167","Batch1","Group4",40744.8475253183
"Cell168","Cell168","Batch1","Group3",51014.7547216232
"Cell169","Cell169","Batch1","Group2",53363.1870353217
"Cell170","Cell170","Batch1","Group3",68654.4442247981
"Cell171","Cell171","Batch1","Group6",65952.5926363367
"Cell172","Cell172","Batch1","Group4",60041.584836401
"Cell173","Cell173","Batch1","Group4",62071.9048034271
"Cell174","Cell174","Batch1","Group4",56521.4420436673
"Cell175","Cell175","Batch1","Group4",60237.2038508574
"Cell176","Cell176","Batch1","Group2",63217.3976614539
"Cell177","Cell177","Batch1","Group6",65501.7203053778
"Cell178","Cell178","Batch1","Group5",86294.8786452023
"Cell179","Cell179","Batch1","Group6",47934.7148984303
"Cell180","Cell180","Batch1","Group6",80415.4407869432
"Cell181","Cell181","Batch1","Group1",68480.3753545123
"Cell182","Cell182","Batch1","Group1",43955.5551099622
"Cell183","Cell183","Batch1","Group3",56646.7873532185
"Cell184","Cell184","Batch1","Group3",52792.8688865178
"Cell185","Cell185","Batch1","Group6",49682.0961958747
"Cell186","Cell186","Batch1","Group6",44021.0277942113
"Cell187","Cell187","Batch1","Group1",54240.3074042125
"Cell188","Cell188","Batch1","Group6",54881.302567353
"Cell189","Cell189","Batch1","Group2",56122.4429863784
"Cell190","Cell190","Batch1","Group3",39647.2661931971
"Cell191","Cell191","Batch1","Group3",65401.5024889864
"Cell192","Cell192","Batch1","Group6",69513.0823654753
"Cell193","Cell193","Batch1","Group2",70117.5623717427
"Cell194","Cell194","Batch1","Group2",69852.9852238765
"Cell195","Cell195","Batch1","Group2",62323.9626198727
"Cell196","Cell196","Batch1","Group2",80311.6528894099
"Cell197","Cell197","Batch1","Group5",50247.1397152573
"Cell198","Cell198","Batch1","Group2",46848.7244600188
"Cell199","Cell199","Batch1","Group6",64059.4978248512
"Cell200","Cell200","Batch1","Group6",65392.6285278262
"Cell201","Cell201","Batch1","Group1",51570.0682069212
"Cell202","Cell202","Batch1","Group5",60314.1022834622
"Cell203","Cell203","Batch1","Group1",63873.6329193775
"Cell204","Cell204","Batch1","Group4",64597.7724178492
"Cell205","Cell205","Batch1","Group2",71347.051611649
"Cell206","Cell206","Batch1","Group4",72162.6297587364
"Cell207","Cell207","Batch1","Group1",36836.2795355502
"Cell208","Cell208","Batch1","Group4",84592.3236672911
"Cell209","Cell209","Batch1","Group3",65591.4433217089
"Cell210","Cell210","Batch1","Group3",53419.3292726759
"Cell211","Cell211","Batch1","Group5",47909.7887023815
"Cell212","Cell212","Batch1","Group5",71755.0025478584
"Cell213","Cell213","Batch1","Group4",63934.8070349705
"Cell214","Cell214","Batch1","Group2",74281.5581539505
"Cell215","Cell215","Batch1","Group4",59156.2122505021
"Cell216","Cell216","Batch1","Group1",57027.9197806806
"Cell217","Cell217","Batch1","Group5",93740.3975204012
"Cell218","Cell218","Batch1","Group4",39846.9604221058
"Cell219","Cell219","Batch1","Group5",64743.1312605441
"Cell220","Cell220","Batch1","Group1",64664.1782896442
"Cell221","Cell221","Batch1","Group4",65364.7969708941
"Cell222","Cell222","Batch1","Group3",66945.1014001844
"Cell223","Cell223","Batch1","Group5",56654.0481807581
"Cell224","Cell224","Batch1","Group1",75603.4817345116
"Cell225","Cell225","Batch1","Group3",36649.1147555129
"Cell226","Cell226","Batch1","Group6",50964.6099412002
"Cell227","Cell227","Batch1","Group3",58464.27072977
"Cell228","Cell228","Batch1","Group3",61860.8784546541
"Cell229","Cell229","Batch1","Group2",64944.9912136694
"Cell230","Cell230","Batch1","Group3",68041.1534659782
"Cell231","Cell231","Batch1","Group4",44280.3580363744
"Cell232","Cell232","Batch1","Group2",59966.0663798844
"Cell233","Cell233","Batch1","Group3",66491.7796289036
"Cell234","Cell234","Batch1","Group2",78062.6645126942
"Cell235","Cell235","Batch1","Group1",58529.5160073769
"Cell236","Cell236","Batch1","Group6",82440.3182746594
"Cell237","Cell237","Batch1","Group2",56596.0447051143
"Cell238","Cell238","Batch1","Group1",59279.5916954635
"Cell239","Cell239","Batch1","Group5",61823.7470100348
"Cell240","Cell240","Batch1","Group4",54150.5758931749
"Cell241","Cell241","Batch1","Group2",69091.5426775625
"Cell242","Cell242","Batch1","Group5",45745.2179413056
"Cell243","Cell243","Batch1","Group2",59806.5991147402
"Cell244","Cell244","Batch1","Group3",53738.8503999078
"Cell245","Cell245","Batch1","Group5",53668.7004857316
"Cell246","Cell246","Batch1","Group4",75379.3826846331
"Cell247","Cell247","Batch1","Group2",73898.2138181551
"Cell248","Cell248","Batch1","Group2",82421.8050876357
"Cell249","Cell249","Batch1","Group4",56797.1053565639
"Cell250","Cell250","Batch1","Group1",60263.3954348167
"Cell251","Cell251","Batch1","Group4",43900.603163784
"Cell252","Cell252","Batch1","Group3",55401.6199894737
"Cell253","Cell253","Batch1","Group3",85206.2122963779
"Cell254","Cell254","Batch1","Group5",55088.4004311117
"Cell255","Cell255","Batch1","Group2",47416.8183491111
"Cell256","Cell256","Batch1","Group6",60377.9296038596
"Cell257","Cell257","Batch1","Group2",76825.9556362074
"Cell258","Cell258","Batch1","Group5",43669.5236798776
"Cell259","Cell259","Batch1","Group5",56910.5437232989
"Cell260","Cell260","Batch1","Group5",65746.788741257
"Cell261","Cell261","Batch1","Group6",88921.2120601558
"Cell262","Cell262","Batch1","Group2",52938.1135299568
"Cell263","Cell263","Batch1","Group3",81136.1851693924
"Cell264","Cell264","Batch1","Group1",54908.3637620975
"Cell265","Cell265","Batch1","Group5",48717.6398656766
"Cell266","Cell266","Batch1","Group2",47721.2991528626
"Cell267","Cell267","Batch1","Group1",57284.2144330822
"Cell268","Cell268","Batch1","Group3",59606.3302832346
"Cell269","Cell269","Batch1","Group1",56129.6590931767
"Cell270","Cell270","Batch1","Group1",73898.2652185135
"Cell271","Cell271","Batch1","Group2",62187.4340339038
"Cell272","Cell272","Batch1","Group6",58620.1913337613
"Cell273","Cell273","Batch1","Group4",53076.4765098225
"Cell274","Cell274","Batch1","Group2",46202.8523225581
"Cell275","Cell275","Batch1","Group1",40462.6527067419
"Cell276","Cell276","Batch1","Group4",62485.0336909432
"Cell277","Cell277","Batch1","Group3",60178.3043824717
"Cell278","Cell278","Batch1","Group4",78669.0142906406
"Cell279","Cell279","Batch1","Group4",63463.4076721271
"Cell280","Cell280","Batch1","Group4",70223.8685616658
"Cell281","Cell281","Batch1","Group4",60366.963651581
"Cell282","Cell282","Batch1","Group2",50834.736541461
"Cell283","Cell283","Batch1","Group3",63444.9657905839
"Cell284","Cell284","Batch1","Group1",64084.4755366774
"Cell285","Cell285","Batch1","Group3",50844.2060931526
"Cell286","Cell286","Batch1","Group3",59530.8614533706
"Cell287","Cell287","Batch1","Group4",89335.6881372135
"Cell288","Cell288","Batch1","Group2",47769.6981403684
"Cell289","Cell289","Batch1","Group4",80373.1720420366
"Cell290","Cell290","Batch1","Group2",57215.8488452448
"Cell291","Cell291","Batch1","Group1",80536.2054346432
"Cell292","Cell292","Batch1","Group6",50583.9375472158
"Cell293","Cell293","Batch1","Group3",59086.6881083085
"Cell294","Cell294","Batch1","Group4",63719.5498610542
"Cell295","Cell295","Batch1","Group3",58540.9597180969
"Cell296","Cell296","Batch1","Group2",68305.6501619787
"Cell297","Cell297","Batch1","Group6",57908.9773044318
"Cell298","Cell298","Batch1","Group5",76250.1523905331
"Cell299","Cell299","Batch1","Group2",61950.0619326575
"Cell300","Cell300","Batch1","Group2",68767.321112363
"Cell301","Cell301","Batch1","Group4",47235.0089975603
"Cell302","Cell302","Batch1","Group4",52487.070489624
"Cell303","Cell303","Batch1","Group2",74451.3811828679
"Cell304","Cell304","Batch1","Group3",66287.5375708872
"Cell305","Cell305","Batch1","Group1",58268.6023958237
"Cell306","Cell306","Batch1","Group1",58585.5555352694
"Cell307","Cell307","Batch1","Group4",69632.0363002412
"Cell308","Cell308","Batch1","Group2",57253.1382023659
"Cell309","Cell309","Batch1","Group3",60778.4785568941
"Cell310","Cell310","Batch1","Group3",43079.7806501085
"Cell311","Cell311","Batch1","Group2",85374.4259539117
"Cell312","Cell312","Batch1","Group1",69786.3410888565
"Cell313","Cell313","Batch1","Group4",70718.1522018135
"Cell314","Cell314","Batch1","Group2",40900.9469880694
"Cell315","Cell315","Batch1","Group3",59625.1452806916
"Cell316","Cell316","Batch1","Group1",55172.1302234499
"Cell317","Cell317","Batch1","Group3",45466.1212045769
"Cell318","Cell318","Batch1","Group5",69250.5298219396
"Cell319","Cell319","Batch1","Group1",76636.3017189427
"Cell320","Cell320","Batch1","Group1",53602.7214357223
"Cell321","Cell321","Batch1","Group4",57191.5800388309
"Cell322","Cell322","Batch1","Group4",84313.0889109023
"Cell323","Cell323","Batch1","Group2",43046.5952879592
"Cell324","Cell324","Batch1","Group3",69483.4696908074
"Cell325","Cell325","Batch1","Group5",56229.4396099774
"Cell326","Cell326","Batch1","Group1",58509.1149222281
"Cell327","Cell327","Batch1","Group4",52987.1723149039
"Cell328","Cell328","Batch1","Group1",74558.4809631639
"Cell329","Cell329","Batch1","Group6",47789.7508336753
"Cell330","Cell330","Batch1","Group6",72585.6046785484
"Cell331","Cell331","Batch1","Group1",79323.7456274298
"Cell332","Cell332","Batch1","Group2",43116.8908426132
"Cell333","Cell333","Batch1","Group2",47792.2686412245
"Cell334","Cell334","Batch1","Group4",67393.8533463799
"Cell335","Cell335","Batch1","Group6",49451.0305016587
"Cell336","Cell336","Batch1","Group4",52140.3303206283
"Cell337","Cell337","Batch1","Group5",54771.7290478367
"Cell338","Cell338","Batch1","Group3",55887.8986912476
"Cell339","Cell339","Batch1","Group6",68922.6153160157
"Cell340","Cell340","Batch1","Group3",53071.6861253883
"Cell341","Cell341","Batch1","Group4",60953.7148678109
"Cell342","Cell342","Batch1","Group2",69390.0613095884
"Cell343","Cell343","Batch1","Group6",43999.0847296706
"Cell344","Cell344","Batch1","Group4",52160.1223085471
"Cell345","Cell345","Batch1","Group2",71108.2535004229
"Cell346","Cell346","Batch1","Group2",55530.9638775144
"Cell347","Cell347","Batch1","Group1",36061.5797936947
"Cell348","Cell348","Batch1","Group4",50434.8737506417
"Cell349","Cell349","Batch1","Group6",70488.530060381
"Cell350","Cell350","Batch1","Group1",54977.6610045847
"Cell351","Cell351","Batch1","Group4",55219.5663318481
"Cell352","Cell352","Batch1","Group5",58153.7797100544
"Cell353","Cell353","Batch1","Group2",69140.3152886504
"Cell354","Cell354","Batch1","Group2",54272.9839822363
"Cell355","Cell355","Batch1","Group6",65853.7522736354
"Cell356","Cell356","Batch1","Group4",67146.4096968966
"Cell357","Cell357","Batch1","Group6",48836.2470945777
"Cell358","Cell358","Batch1","Group1",59137.7976500365
"Cell359","Cell359","Batch1","Group4",53762.9033593531
"Cell360","Cell360","Batch1","Group4",65081.1964345053
"Cell361","Cell361","Batch1","Group5",44282.4922349403
"Cell362","Cell362","Batch1","Group5",81457.2796358643
"Cell363","Cell363","Batch1","Group3",78370.5593813736
"Cell364","Cell364","Batch1","Group1",50585.934609997
"Cell365","Cell365","Batch1","Group5",52366.6467077892
"Cell366","Cell366","Batch1","Group5",49926.2657189757
"Cell367","Cell367","Batch1","Group5",58261.2142167138
"Cell368","Cell368","Batch1","Group1",54165.1183486004
"Cell369","Cell369","Batch1","Group4",61238.2754808749
"Cell370","Cell370","Batch1","Group3",41149.065135124
"Cell371","Cell371","Batch1","Group2",61803.1333051832
"Cell372","Cell372","Batch1","Group3",60060.7923597183
"Cell373","Cell373","Batch1","Group6",43472.3032652877
"Cell374","Cell374","Batch1","Group2",63271.7751086009
"Cell375","Cell375","Batch1","Group6",60535.8195787638
"Cell376","Cell376","Batch1","Group1",57175.7610140096
"Cell377","Cell377","Batch1","Group3",59716.0878844447
"Cell378","Cell378","Batch1","Group2",64665.9352796225
"Cell379","Cell379","Batch1","Group2",64173.4429832773
"Cell380","Cell380","Batch1","Group6",54922.4488276838
"Cell381","Cell381","Batch1","Group5",75360.2787281792
"Cell382","Cell382","Batch1","Group4",59438.2692531078
"Cell383","Cell383","Batch1","Group4",58269.8284251447
"Cell384","Cell384","Batch1","Group3",72324.8900143401
"Cell385","Cell385","Batch1","Group5",73014.1306783222
"Cell386","Cell386","Batch1","Group6",52045.1062269018
"Cell387","Cell387","Batch1","Group2",49108.5417787656
"Cell388","Cell388","Batch1","Group1",51993.6247698783
"Cell389","Cell389","Batch1","Group3",47327.4063129539
"Cell390","Cell390","Batch1","Group2",41930.1580548932
"Cell391","Cell391","Batch1","Group1",63711.5729719903
"Cell392","Cell392","Batch1","Group5",58161.4432933618
"Cell393","Cell393","Batch1","Group5",68084.8466169106
"Cell394","Cell394","Batch1","Group3",59854.274433365
"Cell395","Cell395","Batch1","Group6",64979.8559520004
"Cell396","Cell396","Batch1","Group4",54219.091686262
"Cell397","Cell397","Batch1","Group1",49413.473466219
"Cell398","Cell398","Batch1","Group1",69956.3283004311
"Cell399","Cell399","Batch1","Group5",69718.7188113678
"Cell400","Cell400","Batch1","Group2",42330.2637043773
"Cell401","Cell401","Batch1","Group2",71357.5854404847
"Cell402","Cell402","Batch1","Group5",41995.8344343901
"Cell403","Cell403","Batch1","Group5",59329.5357970778
"Cell404","Cell404","Batch1","Group4",55327.5109424862
"Cell405","Cell405","Batch1","Group1",58360.1601446745
"Cell406","Cell406","Batch1","Group2",74551.656980464
"Cell407","Cell407","Batch1","Group1",46581.3920379075
"Cell408","Cell408","Batch1","Group3",56777.9463639912
"Cell409","Cell409","Batch1","Group2",99773.7596140013
"Cell410","Cell410","Batch1","Group4",44548.7216966723
"Cell411","Cell411","Batch1","Group2",52821.9702492997
"Cell412","Cell412","Batch1","Group5",59384.5633629042
"Cell413","Cell413","Batch1","Group3",62317.0687493888
"Cell414","Cell414","Batch1","Group6",53816.6877830507
"Cell415","Cell415","Batch1","Group2",56771.7167676992
"Cell416","Cell416","Batch1","Group2",74371.6100629576
"Cell417","Cell417","Batch1","Group3",57748.3989433467
"Cell418","Cell418","Batch1","Group6",62963.537241545
"Cell419","Cell419","Batch1","Group4",64466.9808584811
"Cell420","Cell420","Batch1","Group2",64952.1972813261
"Cell421","Cell421","Batch1","Group2",66072.0441598044
"Cell422","Cell422","Batch1","Group4",60531.9446739919
"Cell423","Cell423","Batch1","Group1",51961.8557316985
"Cell424","Cell424","Batch1","Group6",59180.409737527
"Cell425","Cell425","Batch1","Group5",49380.7344170827
"Cell426","Cell426","Batch1","Group2",61003.020560892
"Cell427","Cell427","Batch1","Group4",55849.7190087918
"Cell428","Cell428","Batch1","Group4",58473.7440241985
"Cell429","Cell429","Batch1","Group6",48058.8609566333
"Cell430","Cell430","Batch1","Group5",56578.5217344143
"Cell431","Cell431","Batch1","Group5",48148.8756241799
"Cell432","Cell432","Batch1","Group5",55208.2065820749
"Cell433","Cell433","Batch1","Group4",66528.2169655796
"Cell434","Cell434","Batch1","Group2",62823.4692211379
"Cell435","Cell435","Batch1","Group1",71658.8893209534
"Cell436","Cell436","Batch1","Group2",66012.1190014999
"Cell437","Cell437","Batch1","Group4",61230.3507611932
"Cell438","Cell438","Batch1","Group3",73105.7768599447
"Cell439","Cell439","Batch1","Group2",75988.9612304
"Cell440","Cell440","Batch1","Group4",45257.4459320357
"Cell441","Cell441","Batch1","Group5",71569.8766561329
"Cell442","Cell442","Batch1","Group1",69953.9042964748
"Cell443","Cell443","Batch1","Group4",72285.79409317
"Cell444","Cell444","Batch1","Group1",49923.1178258239
"Cell445","Cell445","Batch1","Group3",96934.0538339024
"Cell446","Cell446","Batch1","Group4",35637.3657152113
"Cell447","Cell447","Batch1","Group2",59956.3818401352
"Cell448","Cell448","Batch1","Group6",61305.2850149139
"Cell449","Cell449","Batch1","Group5",58108.1108542021
"Cell450","Cell450","Batch1","Group2",69534.2459429014
"Cell451","Cell451","Batch1","Group4",61378.0133583375
"Cell452","Cell452","Batch1","Group4",51245.8055414399
"Cell453","Cell453","Batch1","Group6",79380.3917223255
"Cell454","Cell454","Batch1","Group5",56456.0443559928
"Cell455","Cell455","Batch1","Group4",67652.2389410039
"Cell456","Cell456","Batch1","Group3",52401.8923930049
"Cell457","Cell457","Batch1","Group3",48437.2015411634
"Cell458","Cell458","Batch1","Group6",53041.6249216152
"Cell459","Cell459","Batch1","Group1",48466.674441483
"Cell460","Cell460","Batch1","Group1",66610.7526391527
"Cell461","Cell461","Batch1","Group4",43896.1316149658
"Cell462","Cell462","Batch1","Group2",49232.1481578449
"Cell463","Cell463","Batch1","Group6",60200.965599796
"Cell464","Cell464","Batch1","Group2",42484.1156908509
"Cell465","Cell465","Batch1","Group2",54123.4265764649
"Cell466","Cell466","Batch1","Group5",56331.8550860344
"Cell467","Cell467","Batch1","Group3",78371.5021351967
"Cell468","Cell468","Batch1","Group3",56868.2610295569
"Cell469","Cell469","Batch1","Group4",53924.6262261422
"Cell470","Cell470","Batch1","Group1",52436.4081050914
"Cell471","Cell471","Batch1","Group4",65476.3447761974
"Cell472","Cell472","Batch1","Group2",56168.4114274849
"Cell473","Cell473","Batch1","Group1",53704.0786438746
"Cell474","Cell474","Batch1","Group1",56617.0418428757
"Cell475","Cell475","Batch1","Group4",74090.7905936164
"Cell476","Cell476","Batch1","Group4",81925.5141843868
"Cell477","Cell477","Batch1","Group5",52647.6869597311
"Cell478","Cell478","Batch1","Group1",60120.3911320861
"Cell479","Cell479","Batch1","Group3",56115.2622189678
"Cell480","Cell480","Batch1","Group6",86810.1825658948
"Cell481","Cell481","Batch1","Group3",67383.3207065743
"Cell482","Cell482","Batch1","Group5",41934.9403308236
"Cell483","Cell483","Batch1","Group1",54895.0390532009
"Cell484","Cell484","Batch1","Group2",37852.4148613545
"Cell485","Cell485","Batch1","Group1",58771.1843862893
"Cell486","Cell486","Batch1","Group4",68926.2857922872
"Cell487","Cell487","Batch1","Group1",50066.2333968443
"Cell488","Cell488","Batch1","Group3",46327.8532646059
"Cell489","Cell489","Batch1","Group2",76968.9085963622
"Cell490","Cell490","Batch1","Group2",49368.8039190771
"Cell491","Cell491","Batch1","Group1",71794.042367655
"Cell492","Cell492","Batch1","Group4",62493.3057966084
"Cell493","Cell493","Batch1","Group1",71410.8162214388
"Cell494","Cell494","Batch1","Group4",73167.6746781411
"Cell495","Cell495","Batch1","Group4",75205.6846562182
"Cell496","Cell496","Batch1","Group3",76665.5068026389
"Cell497","Cell497","Batch1","Group6",63518.1075201418
"Cell498","Cell498","Batch1","Group3",61966.6864761531
"Cell499","Cell499","Batch1","Group2",49460.1287141545
