	T1	T2	FO1	FO2	FO	MZ	T1log	T2log	FO1log	FO2log	FOlog	MZlog	fold
Marcks	33.4551	21.5578	9.58771	16.4129	13.000305	94.55	5.10664564	4.495554467	3.40431868	4.122084589	3.807386352	6.578183968	4.668357167
Sesn3	10.0984	11.6706	8.25839	15.2842	11.771295	52.0733	3.4722798	3.663412938	3.210761336	4.025400941	3.674832916	5.729914351	4.596907767
Camkmt	2.02741	1.83258	2.00823	3.28247	2.64535	10.4693	1.598084072	1.502116702	1.588914875	2.09844314	1.866057338	3.519705438	4.576398064
Hdgfrp3	3.13409	7.10411	5.47778	10.1659	7.82184	29.4389	2.047569797	3.018653756	2.695499472	3.481027636	3.141079595	4.927844319	4.549731318
Ptpn22	5.57678	14.7376	6.96148	15.0907	11.02609	47.5315	2.717381411	3.97614364	2.993036646	4.008155184	3.588095755	5.600849546	4.487643085
Stom	4.61897	3.96772	1	1.91817	1.459085	12.7656	2.490305698	2.31258386	1	1.545063931	1.298121604	3.782995589	4.438333018
Lyst	6.1778	4.95866	2.1749	6.34959	4.262245	21.772	2.843541725	2.57498793	1.666711152	2.877663771	2.395678419	4.5091891	4.429490945
Plxnc1	5.97875	12.0662	7.39593	11.4278	9.411865	38.9665	2.802968651	3.707767723	3.069690138	3.635499024	3.380156606	5.320719332	4.227599144
Gm7609	6.71399	7.18504	7.24411	12.6128	9.928455	35.6506	2.947477276	3.032989467	3.043363755	3.766891938	3.450017551	5.195764912	4.224512782
Tlr7	7.20532	11.2297	7.37301	12.1233	9.748155	39.7285	3.036559599	3.612317109	3.065746348	3.714058642	3.426017127	5.347966777	4.189518269
Pde4a	5.53854	8.42218	2.11648	4.41039	3.263435	21.3702	2.70896853	3.236060893	1.639917454	2.435732592	2.092016262	4.48350625	4.172320903
Csf2rb	10.2682	10.7004	1.87185	6.63287	4.25236	30.5103	3.49418517	3.548485947	1.521980398	2.93222562	2.392965803	4.977751585	4.140734739
Id2	5.67319	4.24495	1	3.95814	2.47907	15.2553	2.738376581	2.39092902	1	2.309799009	1.798701707	4.022838277	4.101912575
Vasn	4.9458	2.90655	1	2.95861	1.979305	12.0117	2.571870936	1.965895079	1	1.984993941	1.574975824	3.70173756	4.067984313
Alpl	2.36626	5.62929	1.10189	2.99499	2.04844	12.1517	1.75114661	2.728854365	1.071687169	1.998191892	1.608071151	3.71717739	4.019605654
Mdm4	30.5475	12.598	4.03974	18.4329	11.23632	64.6799	4.979453777	3.76532257	2.333349307	4.280429307	3.613097836	6.037380025	3.942806059
Nr1d2	2.06436	2.00874	3.61311	5.38845	4.50078	12.6075	1.615585795	1.589159442	2.205739694	2.675465939	2.459636205	3.766330131	3.857079266
Rsu1	6.54081	10.0631	13.4202	15.3783	14.39925	43.5473	2.9147195	3.467683796	3.850019269	4.033713714	3.944788183	5.477266088	3.836562861
Cd274	6.92482	11.7925	10.2576	14.0674	12.1625	41.2676	2.986378167	3.677226328	3.492827388	3.913358585	3.718361626	5.401480292	3.835072087
Tm6sf1	10.7445	29.4552	18.1205	32.1831	25.1518	83.6619	3.55391339	4.928616674	4.257048345	5.052376766	4.708838344	6.403640961	3.697628705
Ikbke	1	2.15667	5.14158	5.47226	5.30692	12.5742	1	1.658403448	2.618609855	2.694269564	2.656935633	3.76279527	3.652500888
Dtx1	24.8699	55.1673	57.4877	77.7875	67.6376	193.74	4.693202572	5.811658548	5.870061352	6.299894853	6.100927203	7.605405437	3.599235344
9930111J21Rik1	29.695	12.2733	4.50104	26.5722	15.53662	65.1497	4.939931765	3.730455192	2.459704393	4.78514248	4.04759248	6.047662709	3.567816341
Pkd1	4.39587	5.41406	5.10886	8.58028	6.84457	20.9317	2.431855591	2.681237849	2.610903178	3.260067822	2.971694368	4.454945739	3.562983556
Lrrc16a	5.1996	5.65851	1.65502	4.13483	2.894925	14.7977	2.632175135	2.735199376	1.408722729	2.360316514	1.961595548	3.981642625	3.555438624
Impact	3.81862	4.3632	3.70817	6.61786	5.163015	16.3069	2.268620034	2.423094054	2.235166413	2.929385774	2.623636302	4.113275428	3.524320761
Epm2aip1	4.20742	3.02204	3.06207	4.38105	3.72156	12.9147	2.380568771	2.00792743	2.022215101	2.427887712	2.239263604	3.798537899	3.520771398
Bmp2k	6.85123	11.7254	10.1759	16.9199	13.5479	39.9834	2.972918689	3.6696391	3.482319112	4.163490682	3.862739009	5.356967771	3.501753684
Kcnk5	6.37222	7.60924	5.23967	9.90084	7.570255	25.3767	2.882099124	3.105885886	2.641469731	3.446367406	3.099338131	4.721192175	3.485574637
Smg1	20.9454	14.1312	10.6602	18.8277	14.74395	55.5852	4.455846661	3.919454502	3.543520629	4.30944543	3.976725639	5.822352857	3.443700486
Uhmk1	8.98215	3.43863	1	9.06021	5.030105	19.2904	3.319350583	2.150114452	1	3.330588516	2.592183123	4.342725401	3.43230436
Lpar6	4.46958	5.61183	10.5415	12.1954	11.36845	27.9055	2.451430055	2.725049631	3.528758832	3.721963179	3.62859281	4.853272123	3.401211092
Ahcyl2	2.82014	4.62737	4.20994	6.14948	5.17971	15.1381	1.933625511	2.492460824	2.381266758	2.837838315	2.627539137	4.01239883	3.400496324
Ube3a	6.15331	3.22496	2.98282	4.62669	3.804755	14.3424	2.838610964	2.078937683	1.99379028	2.492286481	2.264462868	3.939452275	3.377109899
Ly96	6.85634	5.64024	3.23168	5.90944	4.57056	18.0475	2.973857367	2.731235386	2.081230535	2.788568787	2.477822367	4.25152975	3.336306539
Mycbp2	14.135	14.0381	12.9778	20.3057	16.64175	50.9007	3.91981677	3.910550395	3.805065404	4.413167547	4.140921773	5.697682092	3.312952555
Traf1	1	2.84287	16.6744	16.2252	16.4498	30.3026	1	1.942184172	4.143589335	4.106448829	4.125138596	4.968210588	3.298918118
5830416P10Rik	7.98362	10.3643	6.1617	10.9779	8.5698	28.9448	3.167296904	3.506436917	2.840302086	3.582303088	3.258488774	4.904233592	3.262532857
Tmem154	3.63517	9.06664	10.6061	12.7622	11.68415	29.357	2.212622252	3.331510322	3.536811359	3.78263921	3.664954939	4.92395732	3.255548708
Dnase1l3	5.42691	10.9081	1.30497	3.64687	2.47592	17.2424	2.68412527	3.573871337	1.204747974	2.216259285	1.797394878	4.18922364	3.240009677
Herc3	7.74204	8.11285	5.65279	8.73744	7.195115	24.423	3.127969979	3.187902321	2.733959495	3.283542534	3.034764194	4.668062378	3.230008676
Slc30a7	4.09569	4.36308	3.03811	4.05413	3.54612	12.4212	2.349277513	2.423061774	2.013680211	2.337462773	2.184635766	3.746441765	3.194956469
Nufip2	8.93703	6.26591	5.60776	7.97777	6.792765	22.8888	3.312814721	2.861143496	2.724161288	3.166357137	2.962135311	4.57826248	3.180273214
Suco	6.32133	5.17136	3.71141	6.41074	5.061075	17.1325	2.872105754	2.625588455	2.236158885	2.88961761	2.599573695	4.180505944	3.170506929
Hes5	4.442	8.03158	5.17206	5.54907	5.360565	18.364	2.444136957	3.174978397	2.625752087	2.711290051	2.669154924	4.275305094	3.166929011
Mdfic	5.25782	5.65945	3.2811	4.74595	4.013525	14.9351	2.645660161	2.735403031	2.097981535	2.522545439	2.325825316	3.994136168	3.153472914
Abr	3.81148	5.66956	5.47968	7.6659	6.57279	17.7665	2.266480732	2.737591588	2.695922567	3.115349589	2.920824922	4.230087704	3.140813785
Trim56	6.89732	3.27085	1	4.30796	2.65398	12.0797	2.98136315	2.094523229	1	2.408157499	1.869468737	3.709257546	3.122150047
Pik3r4	11.5788	18.5227	13.1591	19.9486	16.55385	49.1668	3.652922393	4.287080687	3.823657661	4.388781926	4.133715579	5.64866101	3.111369864
Mdn1	4.2959	6.7979	4.02891	6.95768	5.493295	16.9395	2.404875881	2.963085654	2.330245734	2.992347885	2.698950755	4.165067776	3.068695797
Ndst1	18.9744	15.626	5.22213	15.1328	10.177465	42.0273	4.320080262	4.055369212	2.637408538	4.011924948	3.482521123	5.427180408	3.059015386
Dram2	8.545	12.298	10.3847	14.5895	12.4871	34.9551	3.254745198	3.733137378	3.50902437	3.962502752	3.753508268	5.168124517	3.051701108
H2-Q5	74.5805	97.18	70.3521	111.355	90.85355	268.438	6.239942158	6.617357262	6.156883986	6.811920518	6.521263575	8.073809524	3.037766403
Mga	7.81331	4.69211	3.38542	5.72333	4.554375	16.3995	3.139683951	2.508963542	2.132715019	2.749175963	2.473624583	4.120973944	3.034953459
Vps13a	6.62011	3.90376	2.31661	4.36511	3.34086	13.02	2.929811824	2.293888372	1.729709376	2.423607751	2.117980894	3.809414444	3.026923227
Slc35a3	6.28698	4.37661	1.9008	4.9112	3.406	13.1438	2.865321031	2.426696827	1.53645083	2.563451034	2.139469495	3.822097874	3.008493562
Dph5	20.9859	31.0149	26.1399	30.1465	28.1432	80.7365	4.458506686	5.000671599	4.7623435	4.960998148	4.865087393	6.352908563	2.982310005
Heg1	9.73646	5.64013	1.65696	5.66477	3.660865	16.8878	3.424446485	2.731211487	1.409776509	2.736555089	2.220597726	4.160904058	2.976044042
Zscan26	11.8832	9.63046	12.4441	17.7374	15.09075	38.3425	3.687419077	3.410132121	3.748901274	4.227848874	4.008159667	5.298016731	2.966815462
1700020I14Rik	11.9771	8.1315	6.04696	9.96436	8.00566	26.7827	3.697896114	3.190851866	2.817001025	3.454749698	3.170832011	4.796114906	2.965975561
Ly6k	4.14051	5.03133	2.23681	5.42792	3.832365	12.2923	2.361911499	2.592476173	1.694572682	2.684351974	2.272729429	3.732518854	2.920381051
Pydc4	6.8193	3.36518	2.68349	4.3503	3.516895	12.5028	2.96703946	2.126041145	1.881073326	2.419619788	2.175331377	3.755186697	2.904542675
Cybb	36.7807	48.2952	44.3221	59.2353	51.7787	136.33	5.239577527	5.623375269	5.502142805	5.9125373	5.721883911	7.101503009	2.890899963
Hs3st1	1.6364	6.21982	6.13811	9.0122	7.575155	16.4219	1.398569276	2.851962869	2.835542134	3.32368711	3.100162749	4.122830065	2.855171988
Mgat4a	4.66557	5.16885	9.66601	12.1499	10.907955	22.5467	2.50222111	2.625001567	3.414948681	3.716979923	3.57385377	4.557452979	2.849474239
Ttc14	8.79937	6.21173	5.02879	7.66329	6.34604	19.686	3.292689002	2.850345385	2.591868477	3.114915012	2.876966752	4.370582797	2.842417369
Slc39a6	4.56749	5.36323	5.31576	6.94092	6.12834	15.7074	2.477027062	2.669759269	2.65895635	2.989306161	2.833566151	4.062415334	2.831769383
AI504432	5.15211	4.14639	7.01337	9.2346	8.123985	17.996	2.621081299	2.36356079	3.002409092	3.355382813	3.189664075	4.247623756	2.817766995
Zbtb6	6.3924	3.66326	3.64847	5.90881	4.77864	13.6699	2.886042823	2.221338869	2.216755945	2.788437237	2.530729995	3.874787132	2.787934904
Smad3	8.11598	6.1412	4.40023	5.69562	5.047925	16.8368	3.188397759	2.836166524	2.433020854	2.743217652	2.596440249	4.156784908	2.765454648
4932438A13Rik	7.00051	5.25295	4.26736	6.27006	5.26871	15.6727	3.000091969	2.644536981	2.397080064	2.861967271	2.64816859	4.05941585	2.75069677
Birc6	14.2958	10.4511	7.27061	12.1901	9.730355	29.7686	3.93506366	3.517414286	3.047993739	3.721383597	3.423625901	4.943386896	2.6935272
S1pr1	71.2358	70.5289	89.0454	91.1611	90.10325	216.201	6.174642108	6.16045435	6.492580672	6.526086031	6.509430616	7.762886935	2.685966944
Tcf4	13.0509	11.4683	8.49803	14.4236	11.460815	31.8508	3.812590637	3.640192868	3.247628313	3.947067637	3.639326526	5.037856599	2.685517939
Prkdc	4.52174	3.76493	3.17492	4.11919	3.647055	10.4591	2.465122958	2.25245502	2.061748553	2.355915553	2.21631672	3.518421834	2.685128729
Ranbp2	13.4449	8.0526	5.89362	9.76748	7.83055	24.9385	3.852488311	3.178332209	2.785261775	3.428608739	3.142503297	4.697023147	2.684546781
Tnpo1	14.0516	10.1154	3.91382	10.1905	7.05216	25.3614	3.91184495	3.474487961	2.296845011	3.484202593	3.00937584	4.720355086	2.65069509
Pip4k2a	28.295	25.9347	22.0123	29.9818	25.99705	70.3788	4.872582545	4.751394091	4.524333278	4.95334906	4.754729866	6.157423742	2.650208334
Herc1	8.19138	7.34284	5.53417	9.42588	7.480025	20.1642	3.200281485	3.060538577	2.70800399	3.382097255	3.084068518	4.403554051	2.644982156
Itm2c	3.25312	4.22755	5.26283	5.49859	5.38071	11.7957	2.088521561	2.386134956	2.646814719	2.70012673	2.673716966	3.677587168	2.586479948
2310044G17Rik	7.43364	9.03153	9.55628	12.5857	11.07099	24.9421	3.07615544	3.326469756	3.400029618	3.764016997	3.593472098	4.697223365	2.584194897
Pou2f1	5.78057	3.51685	3.34917	5.02197	4.18557	11.4139	2.761406557	2.175317004	2.120740102	2.590235521	2.374502579	3.633884524	2.584002318
Gbp5	4.40195	9.33273	7.94201	9.81993	8.88097	20.2322	2.433480286	3.369149572	3.160599159	3.435619261	3.304652676	4.40818196	2.569443959
Atrx	18.4589	9.84598	5.84289	10.611	8.226945	28.6472	4.282358253	3.43908851	2.774605756	3.537420325	3.205853057	4.889823952	2.560141845
Cyfip1	2.66337	3.46734	4.73825	5.61646	5.177355	10.5444	1.87317142	2.159416059	2.520610824	2.726059539	2.626989242	3.529121288	2.558478947
"Gm4070,Gvin1"	9.94983	7.57393	8.68775	16.232	12.459875	26.9653	3.452836567	3.099956639	3.276161636	4.10701825	3.750593107	4.805565902	2.541288409
Socs4	9.84537	4.76048	3.65202	7.61938	5.6357	16.4295	3.439007368	2.526189031	2.217857299	3.107584099	2.730248664	4.123459278	2.539605252
Pisd-ps2	11.6862	15.4949	20.8246	22.0567	21.44065	44.3571	3.665188087	4.043948127	4.447883307	4.527114136	4.48804256	5.503256496	2.532433945
Phc3	6.66649	4.30126	3.63087	6.04862	4.839745	13.0681	2.93856621	2.406335299	2.211283258	2.81734083	2.545905373	3.81435559	2.531689466
Ceacam16	2.3745	6.26217	4.88763	10.6639	7.775765	15.1797	1.754673754	2.860400703	2.55768701	3.543978351	3.133524893	4.016112953	2.510265336
Slc29a3	11.8805	12.1466	6.53396	9.87764	8.2058	25.1319	3.687116692	3.71661783	2.913408374	3.44329368	3.2025431	4.707740119	2.485925611
Pigm	7.17725	5.71252	5.63096	7.87847	6.754715	16.3163	3.031615748	2.746854482	2.729217752	3.150311083	2.955073761	4.114058795	2.472241583
Mll1/Kmt2a	14.2255	11.0291	8.28075	14.45	11.365375	29.608	3.928417701	3.588456801	3.214241398	3.949534933	3.628234087	4.935836874	2.468086614
St3gal2	2.59598	4.06187	4.51707	5.18286	4.849965	10.0557	1.846384997	2.339670456	2.463902285	2.628274339	2.548427993	3.466718468	2.458940027
Csgalnact2	5.92966	3.94231	4.05196	5.30223	4.677095	11.8187	2.792784569	2.305185505	2.336843216	2.655862406	2.505152884	3.680178054	2.458878944
Nab1	8.66453	12.5963	7.74569	11.5308	9.638245	24.8785	3.272699574	3.765142195	3.128572212	3.647406618	3.411188263	4.693682091	2.454873682
Rel	16.2321	9.21021	4.99613	12.5875	8.791815	26.279	4.107026622	3.351940634	2.584031662	3.76420813	3.291576301	4.769718854	2.443084335
Tpst2	7.25222	20.8071	35.3538	32.9056	34.1297	58.1237	3.044782283	4.446726022	5.184034269	5.08345167	5.134619351	5.885664652	2.413806994
Atm	6.83955	5.88998	3.82212	6.53185	5.176985	13.9137	2.970770844	2.784499795	2.269667553	2.913004268	2.626902827	3.898566321	2.411020859
Abhd2	8.74077	6.39856	2.54966	9.70324	6.12645	16.5036	3.284035821	2.887244503	1.827680844	3.419975679	2.833183585	4.129579769	2.409968082
Chd9	6.32555	4.10446	3.24508	4.52385	3.884465	10.9588	2.872937081	2.351758347	2.085791742	2.465674144	2.288200551	3.580000725	2.408667758
Dock10	24.2118	24.1448	17.7531	29.4961	23.6246	57.2348	4.656027218	4.652188173	4.229057196	4.93055285	4.622028385	5.863809633	2.394616226
Lrrc25	2.48153	6.83643	2.9139	6.69903	4.806465	11.3104	1.799721455	2.970196563	1.968606896	2.944676692	2.537660112	3.621805735	2.389829533
6030458C11Rik	5.17909	6.56908	5.14408	7.09195	6.118015	14.2857	2.627394387	2.920117955	2.619197001	3.016487406	2.831474973	3.934110716	2.382518491
3830406C13Rik	4.0825	5.75468	4.34642	4.78557	4.565995	11.2568	2.34553831	2.755887424	2.418573176	2.532459102	2.476639613	3.615510465	2.373704279
Smc6	15.0202	16.1546	11.2065	15.6668	13.43665	34.4299	4.001820254	4.100523581	3.609577687	4.058905231	3.851664101	5.146895488	2.372508316
2610005L07Rik	7.31673	5.50916	3.01928	7.86833	5.443805	14.0477	3.056016396	2.702471377	2.006937085	3.148662455	2.687912836	3.911471087	2.369570076
Foxn3	9.09289	6.78057	2.01645	8.66447	5.34046	15.6063	3.33526743	2.95987585	1.592851669	3.272690617	2.664587512	4.053658761	2.350843816
Mll2/Kmt2d	18.74	13.7227	7.47857	13.9297	10.704135	31.459	4.303050085	3.879970367	3.08382096	3.900113271	3.54894641	5.020546649	2.335877746
Aasdh	4.16651	4.80007	3.37697	4.87127	4.12412	10.031	2.369190063	2.536070312	2.129932496	2.553672603	2.357304262	3.463491677	2.33078243
Slc9a7	12.8181	10.1444	6.23838	14.585	10.41169	25.5079	3.788487353	3.478247041	2.855666848	3.96208625	3.512440556	4.728350477	2.330239794
Nlrc5	11.1814	11.8218	8.27514	12.3133	10.29422	25.3859	3.606608046	3.680526905	3.213369058	3.734796315	3.497512734	4.721695288	2.329428303
Ly6a	28.7128	156.345	229.984	302.277	266.1305	416.574	4.89301266	7.297787524	7.851649111	8.24449228	8.061400897	8.705888076	2.322950409
2700089E24Rik	4.15902	6.95913	7.912	7.77843	7.845215	15.5456	2.367097039	2.992610741	3.155749233	3.13396294	3.144897211	4.048375705	2.319496221
Nfat5	9.24046	7.39255	6.16313	10.085	8.124065	18.9729	3.356208617	3.069109227	2.840590125	3.470536865	3.189676724	4.319971917	2.308058662
Gpr137b	6.23821	5.41604	5.0308	8.06642	6.54861	14.268	2.855632965	2.681683136	2.592349392	3.180532995	2.916211011	3.932439187	2.305802443
Zfc3h1	10.5307	8.09922	6.24725	7.57645	6.91185	18.5149	3.527408193	3.18574288	2.857433662	3.100380605	2.984015074	4.286504165	2.282013532
Prrc2c	24.4814	18.1356	11.2188	17.7999	14.50935	40.8141	4.671372639	4.258187233	3.611030701	4.232653083	3.955066319	5.385917606	2.278981011
Serpina3g	16.6202	37.7727	40.7989	49.3237	45.0613	81.9101	4.139158395	5.276969298	5.385393071	5.653166094	5.525483224	6.373475955	2.267164422
BC016423	10.2464	6.75647	4.84663	7.94124	6.393935	16.8527	3.49139136	2.955400226	2.547605294	3.160474923	2.886342361	4.158070375	2.262810524
Tnrc6b	6.9143	5.922	3.83894	6.18505	5.011995	12.9209	2.984461753	2.791188942	2.274691051	2.844998196	2.587843809	3.799180581	2.26084621
Ubxn2a	4.73044	4.74213	3.48979	6.02798	4.758885	10.706	2.518645918	2.521585993	2.166647968	2.813110086	2.525789513	3.549176279	2.255041247
Setd7	6.37724	6.05359	3.80618	6.12593	4.966055	12.5914	2.883081171	2.818357719	2.264890681	2.833078312	2.576777278	3.764622165	2.252190454
4930470H14Rik	8.39443	5.31806	6.06943	4.95512	5.512275	13.897	3.23180563	2.659481638	2.821593897	2.57413058	2.703161623	3.896949921	2.247156491
Chd7	3.22292	5.72682	6.34988	8.67985	7.514865	13.3763	2.078240917	2.749924654	2.877720696	3.274984692	3.089983657	3.845620515	2.231292018
Gpr171	14.0007	17.815	18.0212	23.451	20.7361	40.801	3.90695792	4.233811384	4.24953636	4.611821565	4.442021203	5.385465551	2.22688875
