	T1	T2	MZ	FO1	FO2	FO	T1log	T2log	FO1log	FO2log	FOlog	MZlog	fold
Uba52	1590.06	4274.37	1264.81	8335.34	6662.87	7499.105	10.63577253	12.06183356	13.0251984	12.70214454	12.87269508	10.30584515	3.155640012
Ogfod3	4.09594	5.9066	2.96721	15.9878	11.2908	13.6393	2.349348291	2.787975671	4.086427124	3.619506918	3.871774666	1.988124767	3.154871913
Icosl	17.719	87.7474	55.6327	165.444	172.989	169.2165	4.226431461	6.471632949	7.378893055	7.442852288	7.411227082	5.823563408	3.151162856
Map1lc3a	6.45991	7.42804	1.17128	19.6778	11.5652	15.6215	2.899158225	3.075197161	4.370010794	3.65136173	4.054978678	1.118545782	3.112011703
2310010J17Rik	2.36392	5.0465	2.40563	9.57512	10.7107	10.14291	1.750143396	2.596100284	3.402602129	3.54975541	3.47805414	1.767921704	3.099895579
H2-DMa	87.8208	218.76	99.7779	505.305	330.078	417.6915	6.47282566	7.779785005	8.983862921	8.371027337	8.70974382	6.655035489	3.083665983
Stac2	8.31718	10.1113	1.22265	20.8681	19.4398	20.15395	3.219893365	3.473955714	4.450755973	4.353309175	4.402855173	1.152280786	3.076761998
Rps15	1461.92	3952.08	1171.36	7402.43	6062.41	6732.42	10.51463516	11.94876144	12.85397811	12.56591366	12.71712374	10.19519994	3.06699406
Gm13826	27.4514	61.14	20.6683	139.784	80.6419	110.21295	4.830427739	5.957450336	7.137339572	6.351237853	6.79718098	4.437514065	3.026173877
Pacsin1	1.38362	9.54832	4.67785	18.6482	12.437	15.5426	1.253154258	3.398941338	4.296325246	3.748139167	4.048114096	2.505344736	2.98708695
Gmfg	57.6493	104.082	9.26665	181.891	158.25	170.0705	5.874041984	6.715371754	7.514840272	7.315149562	7.418447188	3.359893603	2.983728752
Sell	40.3583	165.393	95.7084	308.126	290.091	299.1085	5.370104981	7.378450932	8.272051191	8.185326424	8.229340371	6.595569301	2.976601848
Rps15a-ps4	3.3017	5.71262	3.50951	13.0026	11.834	12.4183	2.104906915	2.746875974	3.807622826	3.681898983	3.746129999	2.17297068	2.974720992
Rpl18a	787.221	1944.44	582.61	3789	2773.01	3281.005	9.622456376	10.92588077	11.88798213	11.43775727	11.68036172	9.188860793	2.969888401
Scand1	95.6193	159.04	24.5008	404.037	146.233	275.135	6.594239495	7.322288724	8.661909894	7.201957255	8.10922995	4.672470602	2.956744177
Ier2	39.791	75.5054	10.2043	148.725	97.9787	123.35185	5.35017897	6.257489676	7.226171322	6.629046189	6.958284161	3.485980613	2.948633354
Rpl37a	626.866	1727.07	635.303	3000.45	2851.56	2926.005	9.29431288	10.75494594	11.55144392	11.47804152	11.51520949	9.313570113	2.936538363
Ppdpf	105.448	201.171	62.7559	480.649	241.864	361.2565	6.734005034	7.659432257	8.91183836	7.924004843	8.500867766	5.994486951	2.934063738
Hcst	1	26.9277	41.7109	68.7831	67.237	68.01005	1	4.80362486	6.124805783	6.092482316	6.108734573	5.416532394	2.929842788
Snrnp25	16.1066	42.6238	14.6555	72.9856	69.976	71.4808	4.096481142	5.447043541	6.209172598	6.149259365	6.179526974	3.96859768	2.922119917
Anxa5	7.01147	10.889	6.28568	25.9309	21.1802	23.55555	3.002066983	3.571555468	4.751190539	4.471200469	4.617977232	2.865063631	2.921781681
2310001H17Rik	8.06727	9.32634	10.6967	35.3874	19.3149	27.35115	3.180668245	3.3682571	5.185367064	4.344466358	4.825335351	3.548029653	2.921058899
Aes	129.045	229.248	67.8472	533.017	293.06	413.0385	7.022867121	7.847044814	9.060741859	8.199966742	8.693621115	6.105326076	2.907764862
2610035D17Rik	3.9563	8.20177	5.25476	20.7262	12.9596	16.8429	2.309263515	3.201911396	4.441363958	3.803185698	4.15727821	2.644954528	2.901808609
Fau	1229.73	2813.01	944.902	5450.57	4183.96	4817.265	10.26529858	11.45841174	12.41245606	12.03099812	12.23429803	9.885546911	2.897520512
Rpl36	588.676	1825.86	603.466	3001.89	2822.7	2912.295	9.203778667	10.83515036	11.55213591	11.4633711	11.50843608	9.239517383	2.894923529
Rps21	1196.71	3583.25	1234.57	6054.67	5461.83	5758.25	10.22606292	11.80745555	12.56407087	12.41543281	12.49166523	10.27096103	2.872169563
Rras	7.62071	14.4593	7.01438	34.8188	20.4952	27.657	3.107806694	3.95040309	5.1626451	4.425942629	4.840815682	3.002590916	2.851786891
Rps16	1256.71	2975.47	1084.51	5754.43	4340.04	5047.235	10.29658359	11.53938664	12.490708	12.083825	12.30156336	10.0841573	2.847957094
Crat	2.53884	7.4557	3.40707	16.154	9.27452	12.71426	1.823276535	3.079924192	4.100473121	3.360999091	3.777604874	2.139819812	2.846134159
Enpp1	3.68848	5.97162	1.23416	11.4038	9.24906	10.32643	2.229120278	2.801493935	3.632710264	3.357419693	3.501621302	1.159732509	2.843634171
Emp3	106.241	152.122	8.8721	299.386	206.948	253.167	6.744712767	7.258537769	8.230673765	7.700078999	7.989632919	3.303357008	2.842070521
Rps19	880.516	1974.55	791.172	3703.94	3137.1	3420.52	9.783842945	10.94803865	11.85523446	11.61567561	11.74042167	9.629669899	2.814286945
Bola1	6.46767	12.184	4.7738	25.6836	18.1449	21.91425	2.900658176	3.720716243	4.737881415	4.258888219	4.518173161	2.529521135	2.806464502
Trp53i13	5.6346	7.45637	5.33709	20.7856	13.5497	17.16765	2.730009488	3.080038502	4.445302942	3.862917501	4.183299913	2.663820505	2.794811282
1110054M08Rik	3.03934	6.71439	4.69435	15.9842	10.8697	13.42695	2.014119586	2.947552083	4.08612136	3.569211567	3.850694427	2.50953117	2.78797252
Pnkd	16.1552	23.0352	6.91274	52.7993	32.8437	42.8215	4.10057404	4.587076903	5.749515496	5.080815396	5.453566963	2.984177353	2.786458797
Dpm3	60.3314	119.82	25.1685	246.473	134.524	190.4985	5.938553978	6.916715481	7.951127321	7.082404551	7.581189281	4.709759325	2.783439404
Dnase2a	9.74788	27.3065	15.3423	58.3694	38.5846	48.477	3.425980214	4.823061471	5.891647628	5.306867368	5.628686121	4.030539136	2.775576621
Pear1	3.25899	5.29631	7.82531	17.7012	12.591	15.1461	2.090511342	2.654506574	4.225058941	3.764579706	4.013113827	3.141646956	2.773907687
Rps5	1059.85	2949.29	1048.22	5616.82	3730.09	4673.455	10.05100496	11.52664106	12.45579468	11.86538145	12.19058245	10.0351015	2.772269524
Neurl2	3.25665	5.49907	4.78614	16.8148	8.21073	12.512765	2.08971847	2.700233287	4.155004382	3.203315502	3.756251006	2.532601231	2.772019132
Dexi	15.2154	34.0109	8.80064	66.8758	39.9331	53.40445	4.019292707	5.129732243	6.084825392	5.355196026	5.765652756	3.292875963	2.761016693
Rpl13	862.833	2625.77	1285.98	5141.34	3643.69	4392.515	9.754608621	11.35907417	12.32820929	11.8315804	12.1011599	10.32977392	2.759936313
4930481A15Rik	5.78357	9.59268	4.5539	22.9053	13.752	18.32865	2.762044723	3.404995739	4.579258606	3.882838656	4.272668972	2.473501201	2.758933074
Shisa5	279.277	936.647	511.77	1867.96	1308.24	1588.1	8.130709549	9.872901077	10.86801998	10.35451387	10.6339942	9.002168048	2.757606382
2010003O02Rik	20.2515	60.6309	24.7146	101.164	91.9192	96.5416	4.40949277	5.945581954	6.674743106	6.537904828	6.607945732	4.684515807	2.74273701
Cd69	11.6996	16.9819	6.24571	32.2479	31.5991	31.9235	3.666711152	4.168473562	5.055191315	5.02676023	5.041045807	2.857127065	2.742002582
Rps14	1002.57	2413.88	852.806	4616.59	3122.17	3869.38	9.970925534	11.23773579	12.17292437	11.60879538	11.9182595	9.737764491	2.719007715
Bcl7c	25.0936	46.0617	8.65603	92.8958	50.3857	71.64075	4.705624094	5.556481531	6.552988722	5.683295026	6.182707193	3.271430158	2.692878943
Rdm1	10.3805	17.2139	14.323	44.6835	30.0585	37.371	3.508492038	4.186967963	5.513601281	4.95691625	5.261944459	3.937626877	2.674617223
Tpgs1	19.8939	35.6581	9.57684	76.8133	39.058	57.93565	4.385009902	5.196060107	6.281944859	5.324018488	5.881068675	3.402836759	2.668663376
Cd55	84.6638	94.0308	29.0237	182.448	186.457	184.4525	6.420613771	6.570323269	7.519227366	7.550415889	7.534905906	4.908029875	2.663980497
Nudt8	5.48877	20.0572	18.2062	45.994	31.5323	38.76315	2.697945029	4.396241707	5.554404666	5.023800918	5.313360145	4.263500201	2.657912739
Crlf2	27.247	53.2441	26.0617	122.99	65.1349	94.06245	4.820025748	5.761394323	6.954079959	6.047339891	6.570803679	4.758180566	2.648333502
Rpl18	1046.78	2215.07	797.796	4215.47	2934.58	3575.025	10.03312011	11.11378774	12.04181997	11.51942986	11.80414111	9.641683298	2.641874439
Pltp	5.29155	5.77839	4.18142	14.4498	12.2809	13.36535	2.653415486	2.760942646	3.949516257	3.731281011	3.844521238	2.373347532	2.629014724
Rpl13a	1175.18	2550.07	961.815	4568.02	3619.83	4093.925	10.19989315	11.31688677	12.15766904	11.82210473	11.99962131	9.911114808	2.620355169
Rpl38	856.238	2498.53	957.164	3765.49	3745.67	3755.58	9.743551994	11.28744113	11.87900498	11.8713932	11.87520411	9.9041288	2.61292154
Tnf	1.1527	6.6731	8.30178	13.4095	14.5957	14.0026	1.10614728	2.939809557	3.848948371	3.963076403	3.907140641	3.217506819	2.604718129
Pfdn5	143.947	318.45	107.322	542.126	445.543	493.8345	7.179381664	8.319446329	9.085143118	8.802655297	8.950802279	6.759182471	2.600410904
Fbxw4	7.0516	14.7965	8.11673	30.5876	21.2788	25.9332	3.009275502	3.981533034	4.981286421	4.477599622	4.751313745	3.18851645	2.596363804
Sertad1	14.6841	24.6311	4.64362	44.455	31.3708	37.9129	3.97123084	4.67982349	5.506367093	5.016621115	5.282176597	2.496620851	2.587392018
Ccr6	6.10911	21.0855	27.3014	35.658	58.3222	46.9901	2.829668958	4.465027589	5.196056172	5.890500197	5.584664914	4.822801516	2.586800391
Rnf144a	5.71098	8.97455	4.46089	14.4515	18.5345	16.493	2.746523458	3.318251756	3.949674994	4.287952424	4.128705823	2.449136097	2.584242903
Rps24	542.518	1430.58	918.035	2654.25	2326.1	2490.175	9.086184004	10.48339258	11.37463199	11.18431749	11.28261066	9.843975995	2.583943734
Pacs1	7.27654	22.0193	10.8219	36.7635	32.2822	34.52285	3.049027776	4.524772058	5.238920578	5.056678896	5.150675429	3.563390017	2.581614767
2810428I15Rik	19.3299	35.2965	9.18645	63.4617	46.283	54.87235	4.345531214	5.181758534	6.010370331	5.563249669	5.804062596	3.348579452	2.579684969
Use1	76.0153	170.389	65.7094	290.394	243.732	267.063	6.267073178	7.421130708	8.186827361	7.935058944	8.066428292	6.05981816	2.566977996
Trim59	19.7261	15.2471	7.12203	38.9343	32.9835	35.9589	4.373376767	4.022110324	5.31955652	5.08676254	5.207849914	3.021840356	2.56268228
Gstp2	13.8288	30.112	14.4176	60.7382	38.6471	49.69265	3.890329949	4.959399235	5.948091516	5.309143438	5.663704679	3.946506299	2.554524284
Krtcap2	86.2124	123.079	32.824	259.175	152.633	205.904	6.446461369	6.955115154	8.023338531	7.263344327	7.692817726	5.079975377	2.551312308
Ralgds	6.5273	13.4347	7.22888	27.282	18.9486	23.1153	2.912132471	3.851469219	4.821812241	4.318215596	4.591876853	3.040696085	2.550336731
Bcl2a1d	1.79241	7.73446	11.5405	17.5649	18.2094	17.88715	1.481510783	3.126718513	4.214505639	4.263740552	4.239333116	3.648522966	2.547135689
Haao	55.7426	120.023	43.1461	200.331	171.024	185.6775	5.826360353	6.919137443	7.653425519	7.426466047	7.544404242	5.464214086	2.544553352
Cd74	6168.36	12403.4	4189.31	25091.8	13485.8	19288.8	12.59090512	13.59856433	14.61498584	13.71926046	14.23555056	12.03284126	2.542340936
Spint2	10.7033	24.3878	23.6239	59.846	39.483	49.6645	3.548843481	4.666063477	5.927090519	5.3392443	5.662903317	4.621987373	2.537571319
Def6	25.6946	44.5159	16.4792	81.1332	65.4646	73.2989	4.738476026	5.508298703	6.359893603	6.05451424	6.215268947	4.127567251	2.536595466
Acbd6	12.5425	27.4033	12.8885	54.9311	33.538	44.23455	3.759422186	4.827986652	5.805578799	5.110112638	5.499353214	3.795818887	2.511695054
Gimap1	109.704	225.372	88.5956	421.909	286.188	354.0485	6.790563541	7.822551712	8.724203453	8.165851658	8.471872302	6.485355979	2.507001885
"Gm9846,Rps27"	2399.49	5532.79	3347.81	9375.98	9468.29	9422.135	11.22911321	12.43405218	13.19490764	13.20904054	13.2019914	11.70943281	2.505866974
Gimap6	137.411	278.812	123.252	454.846	444.09	449.468	7.112814793	8.128314025	8.832402706	8.797953277	8.815280814	6.957125264	2.499474489
Gstp1	45.1765	105.485	54.9329	208.144	133.696	170.92	5.529086921	6.734506409	7.7083528	7.073563198	7.425593578	5.805625228	2.494036803
Dtd1	4.56982	10.2298	6.70959	19.2247	16.4863	17.8555	2.477630705	3.489260329	4.338046398	4.128153151	4.236913502	2.946654139	2.490398299
Khk	3.2548	6.76824	4.86571	12.9365	11.6352	12.28585	2.089091319	2.957587774	3.800796384	3.659376595	3.731818626	2.552305746	2.475530182
Gm5617	3.79138	7.75755	3.31606	15.4958	8.94784	12.22182	2.260441237	3.13052732	4.044026841	3.314383304	3.724848874	2.109714921	2.466564727
Dnajb2	4.37797	5.92575	7.5841	15.5662	13.7321	14.64915	2.427061707	2.791970311	4.050170806	3.88089119	3.968012393	3.101666883	2.456836551
Arl2	10.4283	19.8259	9.12275	38.3841	26.0428	32.21345	3.514538908	4.380306938	5.299541403	4.75717263	5.053695683	3.339529368	2.454236552
Ddb2	4.51644	12.2838	14.3354	22.5713	28.0232	25.29725	2.463737533	3.731596002	4.558959423	4.85913469	4.716840034	3.938793892	2.437455919
Arhgef3	33.8231	41.0816	13.6614	77.4102	66.4983	71.95425	5.121972734	5.395117654	6.292969435	6.076779262	6.188920121	3.873950966	2.437306712
Phf1	26.8607	41.4633	51.5315	108.59	85.5352	97.0626	4.800159601	5.408144588	6.775972349	6.435215193	6.615631108	5.715110875	2.429490511
Fbxo6	6.18959	9.41765	5.07003	21.5388	11.8954	16.7171	2.845909501	3.380957968	4.494338801	3.688784619	4.147070572	2.601703647	2.425431404
Bcdin3d	5.02873	7.64717	5.05651	16.8203	11.8279	14.3241	2.591854119	3.112228052	4.155449719	3.681213107	3.93773044	2.598486695	2.42337618
N6amt2	4.03251	8.36136	6.84542	18.6211	12.4457	15.5334	2.331278134	3.226718137	4.294334019	3.749072961	4.047311532	2.971850683	2.422137199
2300009A05Rik	8.57202	16.5074	7.73663	33.3205	19.6045	26.4625	3.258823411	4.129892942	5.100998666	4.36488755	4.77939106	3.127076893	2.419166841
Ptpn18	22.2653	57.1982	31.1204	93.9045	84.0613	88.9829	4.540107885	5.862902628	6.568404591	6.410430999	6.491578958	5.005417954	2.413992453
Snx22	20.3956	31.5786	12.73	59.0489	44.9393	51.9941	4.419242232	5.025852703	5.908065913	5.521656969	5.727759844	3.77925972	2.410698224
Klf2	252.084	270.629	7.20403	607.561	242.032	424.7965	7.983472493	8.085493704	9.249258071	7.925002476	8.734020281	3.036332767	2.404884969
Gpr18	40.7416	83.1956	73.8693	190.363	126.678	158.5205	5.383413996	6.395672936	7.580168102	6.996366148	7.317598027	6.226302361	2.404175293
Dgat1	8.12865	12.9543	7.11533	24.5463	20.3707	22.4585	3.190401522	3.80263785	4.675042448	4.417562259	4.552038861	3.020649761	2.389347861
Insl3	3.87454	11.1537	11.8141	27.8997	14.7309	21.3153	2.285266081	3.603323681	4.852982611	3.975529308	4.479961297	3.679660249	2.382277402
Gm12191	809.348	1881.26	948.93	3060.52	2699.1	2879.81	9.662397789	10.87825021	11.58003239	11.39879712	11.4922588	9.891677395	2.373771067
Pck2	10.7845	19.1909	11.288	34.2722	30.9968	32.6345	3.558818643	4.335633314	5.140459657	4.999855723	5.071869907	3.619178216	2.372647431
A430005L14Rik	10.5688	18.4273	6.94524	33.7912	22.9756	28.3834	3.53216732	4.280013504	5.120650535	4.583495015	4.876929437	2.990090799	2.369143721
Tsen34	12.4343	17.7855	8.46211	37.4352	23.5936	30.5144	3.747849246	4.231547611	5.264356271	4.620211026	4.977939291	3.242161933	2.366563595
Sfxn3	11.1461	13.0586	4.70726	25.9001	19.6915	22.7958	3.602421247	3.813381028	4.749539631	4.37096633	4.572635053	2.512798288	2.365367135
Tuba4a	28.7469	56.0535	26.9148	99.8795	74.5261	87.2028	4.894667424	5.834243488	6.65648922	6.238903386	6.46275255	4.802958315	2.341744006
Gm15987	8.81871	17.3375	9.66445	29.9169	25.9911	27.954	3.295533493	4.196725061	4.950323764	4.754411869	4.855690765	3.414737658	2.341162893
Tspo	69.1316	105.672	30.3166	199.276	120.754	160.015	6.131992737	6.737037727	7.645845736	6.92782536	7.331051284	4.968855685	2.340310706
Zyx	9.59076	22.0617	16.6868	44.1769	31.0171	37.597	3.404734217	4.52742696	5.497513373	5.000770734	5.270416811	4.144601146	2.333320783
Ndufb2	35.1248	57.1661	23.1064	105.071	74.4243	89.74765	5.174917695	5.862106671	6.728886465	6.236957497	6.503788378	4.591344313	2.333182405
Cst3	183.022	214.433	49.6178	364.978	330.346	347.662	7.523734442	7.751095448	8.515613116	8.372194693	8.445685326	5.6615729	2.332922065
Stard10	16.7232	20.2466	17.5591	48.4983	36.2134	42.35585	4.147567207	4.409160086	5.629307072	5.217750303	5.438154764	4.214054845	2.33027899
Ppcs	10.5289	19.573	11.0792	34.5291	29.3321	31.9306	3.527182963	4.362680281	5.150929239	4.922773479	5.041356893	3.594453004	2.326110764
Ccdc101	12.6424	20.0069	9.46464	39.4164	25.8661	32.64125	3.770025564	4.392791373	5.336868918	4.747715004	5.072159407	3.387450776	2.325209895
H2-DMb1	102.197	191.406	118.686	318.564	319.386	318.975	6.689257221	7.588009979	8.319961083	8.323667297	8.32181538	6.903110596	2.321005411
Sod1	82.6036	155.82	95.7556	259.606	257.428	258.517	6.385493161	7.292965755	8.02572649	8.013618581	8.019685237	6.596273259	2.32076383
